         9327113 function calls (9308042 primitive calls) in 6.906 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.002    0.002    6.902    6.902 lbm3d.py:1(<module>)
        1    0.001    0.001    4.166    4.166 lbm3d.py:57(add_shape)
        1    0.000    0.000    4.154    4.154 _function_base_impl.py:2465(__call__)
        1    0.020    0.020    4.154    4.154 _function_base_impl.py:2435(_call_as_normal)
        1    0.440    0.440    4.134    4.134 _function_base_impl.py:2541(_vectorize_call)
  4000001    0.600    0.000    3.606    0.000 lbm3d.py:59(<lambda>)
  4000001    3.006    0.000    3.006    0.000 lbm3d.py:152(containsPoint)
        1    1.795    1.795    1.872    1.872 lbm3d.py:22(__init__)
       70    0.001    0.000    1.321    0.019 __init__.py:1(<module>)
    715/5    0.002    0.000    1.319    0.264 <frozen importlib._bootstrap>:1349(_find_and_load)
    712/5    0.001    0.000    0.868    0.174 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
    614/5    0.001    0.000    0.866    0.173 <frozen importlib._bootstrap>:911(_load_unlocked)
    547/5    0.001    0.000    0.866    0.173 <frozen importlib._bootstrap_external>:1016(exec_module)
   1635/9    0.001    0.000    0.864    0.096 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
   582/58    0.000    0.000    0.811    0.014 {built-in method builtins.__import__}
 1331/249    0.001    0.000    0.803    0.003 <frozen importlib._bootstrap>:1390(_handle_fromlist)
        1    0.000    0.000    0.291    0.291 pyplot.py:1(<module>)
  614/605    0.001    0.000    0.240    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
1853/1759    0.015    0.000    0.237    0.000 {built-in method builtins.__build_class__}
    55/52    0.000    0.000    0.233    0.004 <frozen importlib._bootstrap_external>:1314(create_module)
    55/52    0.229    0.004    0.232    0.004 {built-in method _imp.create_dynamic}
        1    0.000    0.000    0.202    0.202 cloud_tpu_init.py:1(<module>)
        1    0.000    0.000    0.202    0.202 config.py:1(<module>)
      103    0.002    0.000    0.165    0.002 artist.py:159(_update_set_signature_and_docstring)
      102    0.000    0.000    0.162    0.002 artist.py:126(__init_subclass__)
      547    0.002    0.000    0.146    0.000 <frozen importlib._bootstrap_external>:1089(get_code)
        1    0.000    0.000    0.140    0.140 figure.py:1(<module>)
        2    0.000    0.000    0.131    0.065 xla_client.py:1(<module>)
      114    0.000    0.000    0.125    0.001 artist.py:1839(kwdoc)
        1    0.000    0.000    0.119    0.119 colorbar.py:1(<module>)
      114    0.003    0.000    0.106    0.001 artist.py:1600(pprint_setters)
        2    0.000    0.000    0.104    0.052 custom_batching.py:1(<module>)
        5    0.000    0.000    0.099    0.020 linalg.py:1(<module>)
      456    0.088    0.000    0.088    0.000 {built-in method numpy.asanyarray}
      547    0.001    0.000    0.087    0.000 <frozen importlib._bootstrap_external>:1210(get_data)
        1    0.000    0.000    0.086    0.086 api.py:1(<module>)
     4144    0.006    0.000    0.086    0.000 artist.py:1469(get_valid_values)
        1    0.000    0.000    0.074    0.074 contour.py:1(<module>)
        1    0.000    0.000    0.070    0.070 backend_bases.py:1(<module>)
     7176    0.038    0.000    0.069    0.000 inspect.py:891(cleandoc)
      547    0.065    0.000    0.065    0.000 {method 'read' of '_io.BufferedReader' objects}
        6    0.001    0.000    0.065    0.011 core.py:1(<module>)
        1    0.000    0.000    0.061    0.061 text.py:1(<module>)
     7113    0.003    0.000    0.058    0.000 inspect.py:872(getdoc)
       36    0.056    0.002    0.056    0.002 numeric.py:144(ones)
        1    0.000    0.000    0.054    0.054 rcsetup.py:1(<module>)
        2    0.000    0.000    0.052    0.026 stages.py:1(<module>)
      547    0.007    0.000    0.050    0.000 <frozen importlib._bootstrap_external>:778(_compile_bytecode)
        1    0.000    0.000    0.046    0.046 eigh.py:1(<module>)
      676    0.003    0.000    0.045    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
        1    0.000    0.000    0.044    0.044 lapack.py:1(<module>)
      218    0.000    0.000    0.044    0.000 artist.py:1421(__init__)
      218    0.015    0.000    0.044    0.000 artist.py:1441(get_aliases)
      547    0.043    0.000    0.043    0.000 {built-in method marshal.loads}
        1    0.000    0.000    0.041    0.041 _axes.py:1(<module>)
      671    0.000    0.000    0.039    0.000 <frozen importlib._bootstrap_external>:1547(find_spec)
        1    0.000    0.000    0.039    0.039 collections.py:1(<module>)
      671    0.001    0.000    0.039    0.000 <frozen importlib._bootstrap_external>:1518(_get_spec)
     1133    0.004    0.000    0.034    0.000 <frozen importlib._bootstrap_external>:1620(find_spec)
        1    0.000    0.000    0.034    0.034 _base.py:1(<module>)
        1    0.000    0.000    0.033    0.033 lax_numpy.py:1(<module>)
        2    0.005    0.002    0.033    0.016 mlir.py:1(<module>)
      320    0.000    0.000    0.032    0.000 api.py:141(jit)
      320    0.000    0.000    0.032    0.000 pjit.py:513(make_jit)
        1    0.000    0.000    0.031    0.031 ir.py:1(<module>)
        1    0.000    0.000    0.031    0.031 axes3d.py:1(<module>)
        1    0.000    0.000    0.030    0.030 __init__.py:74(_site_initialize)
        1    0.000    0.000    0.030    0.030 patches.py:1(<module>)
      218    0.009    0.000    0.030    0.000 artist.py:1519(get_setters)
     6602    0.003    0.000    0.028    0.000 __init__.py:330(_compile)
        1    0.000    0.000    0.028    0.028 __config__.py:1(<module>)
        1    0.000    0.000    0.027    0.027 colors.py:1(<module>)
     1065    0.000    0.000    0.026    0.000 inspect.py:3338(signature)
        9    0.000    0.000    0.025    0.003 _base.py:732(__init_subclass__)
     1065    0.000    0.000    0.025    0.000 inspect.py:3062(from_callable)
1259/1065    0.003    0.000    0.025    0.000 inspect.py:2473(_signature_from_callable)
     5565    0.002    0.000    0.024    0.000 __init__.py:174(search)
      232    0.001    0.000    0.024    0.000 _compiler.py:738(compile)
        1    0.000    0.000    0.023    0.023 _fontconfig_pattern.py:1(<module>)
